"","movieTitle","score","regDate","wom"
"617","알렉스 크로스",6,"2013-03-17","6.0매튜 폭스의 실감나는 살인마 연기마저 실없게 만드는 엉성한 줄거리. 왜 폭파하는지, 왜 추격하는지도 모르고 신나게 달리다 방법을 모르고 후다닥 마무리하는 안타깝고 안쓰러운 결말.                    "
"8155","겨울왕국",10,"2014-02-02","10.0와!!!정말재미있었고 힐링됬어요~!!특히OST는 정말좋았어요!~                    "
"2516","브이 포 벤데타",9,"2013-12-13","9.0개봉 당시 극장에서 3번을 본 영화. 그 때만 해도 쥐박이 닭그네는 상상도 못 했지. ㅋ                     "
"6735","해적 : 바다로 간 산적",10,"2014-08-16","10.0정말 시간가는줄 모르고 너무 재밌게 잘봣습니다.  유해진씨  짱 입니다요.~~~~                    "
"3892","고혹자 - 가두지왕",1,"2013-07-21","1.0진짜 유치하다는게 뭔지 궁금하고 손발이 오글거리는게 뭔지 알고싶은 사람...이 영화를 보면 그게 뭔지 알게 된다                    "
"8132","야곱의 사다리",8,"2013-10-16","8.0지금 봐도 신선한 연출과 작품 전체에 잘 녹아들어간 종교적 은유 그리고 반전메시지                    "
"5993","리딕",6,"2014-01-07","6.0b급액션영화로 크게 기대를 안한다면 볼만한 작품. 다음편이 제작이된다면 솔직히 기대가되긴 하다..                     "
"1608","히든 페이스",7,"2014-10-22","7.0우리는 누구나 연인에 대한 의심을 가진다. 사랑은 식었는지, 바람을 피진 않는지, 나 이외 친하게 지내는 여자는 누가 있는지를 궁금해한다. 그 의심이 자라나면 여자들은 헤어지자고 말한다. 진짜 헤어지고 싶은게 아니라 남자의 반응을 궁금해 하는 것이다. 내가 사라졌을 때 남자친구가 나를 얼마나 사랑했는지를 본다.                    "
"2006","적인걸2: 신도해왕의 비밀",10,"2013-10-04","10.0액션 무협 좋아한다면 추천! 좀 지루하지 않을까 했는데 재밌게 봤어요 오락영화로 괜찮은듯ㅋ 김범도 반가웠다는ㅋ                    "
"9341","신의 한 수",5,"2014-08-20","5.0타짜가 나오기전에 나왔다면 잘 만든 영화였을지도.하지만 그럴 일은 없다. 왜냐면 타짜를 배껴야 했으니까.                    "
"7998","고백",0,"2013-09-28","0.0일본의 흔한 일상을 잘 표현했다. 그런데 좀 역하고 재미가 없다.                    "
"8693","더 울버린",3,"2013-07-27","3.0정확한 평론... 빨리내려라.                    "
"1552","끝까지 간다",5,"2014-06-17","5.0기대를 너무 했었는지 실망감이 컸습니다. 특히 무차별적인 조진웅님이 맡은 역할의 폭력성은 눈살 찌푸려질만큼이었습니다.                    "
"2551","래빗 홀",5,"2014-12-25","5.0출발 비디오여행에서 나온 스포일러가 다임...연기는 볼만한데 좀 지루하고 결말도 미지근 하게 끝내고..주인공 입장을 대입해서 생각하고 보면 재밌지만 소설로 읽는게 나을듯..                     "
"9475","역린",10,"2014-05-01","10.0작은일도 무시하지 않고 최선을 다해야한다. 지금 이시국에 가장 와닿는 대사였어요                    "
"8186","전국노래자랑",9,"2013-05-04","9.0재밌 어요 애들과 함께 보기도 좋구요 대박났으면 좋겠네요                    "
"4142","루시",4,"2014-09-09","4.0뭔가 거창하게 시작했는데 허무한 결말                    "
